"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Apobec32",3.30601931676694e-11,0.117329061901486,1,0.945,1.18520792506095e-07,"20","Apobec3",0.055,0.040229844788533
"Ptprcap3",3.63486300318406e-11,0.24910385303707,1,0.977,1.30309838664148e-07,"20","Ptprcap",0.023,0.0166871289328792
"Ctss1",7.42238284358736e-11,0.129691394369744,0.908,0.515,2.66092424942607e-07,"20","Ctss",0.393,0.332743377645198
"Ltb2",8.05007856881417e-11,0.186203411974089,0.969,0.403,2.88595316691988e-07,"20","Ltb",0.566,0.488948102281654
"Vpreb31",2.99044559817919e-10,0.219338341034361,0.929,0.613,1.07207474694724e-06,"20","Vpreb3",0.316,0.258106704893461
"Gimap62",3.51094629147369e-10,0.133862932185937,0.98,0.48,1.25867424549332e-06,"20","Gimap6",0.5,0.41990325445066
"Il2rg1",4.92731500652496e-10,0.1037027295249,0.878,0.514,1.7664424298392e-06,"20","Il2rg",0.364,0.310831857668043
"Btg25",6.941916040469e-10,0.133359053677808,1,0.868,2.48867690050814e-06,"20","Btg2",0.132,0.0985055449524253
"Shisa53",1.32561780709576e-09,0.279643033464259,0.99,0.872,4.7523398384383e-06,"20","Shisa5",0.118,0.0881879958476067
"Junb4",1.68317785578412e-09,0.200129608234685,1,0.926,6.03419261298607e-06,"20","Junb",0.074,0.0543922968186277
"H2-DMa",1.84224293343754e-09,0.127910412443982,0.98,0.922,6.60444091637359e-06,"20","H2-DMa",0.0579999999999999,0.0428920941932214
"Ighm1",2.62681005987314e-09,0.138925455815697,1,0.853,9.4171140646452e-06,"20","Ighm",0.147,0.110137118634821
"Ifi27l2a3",4.14249654151984e-09,0.109337151409988,1,0.753,1.48508501013486e-05,"20","Ifi27l2a",0.247,0.190174003902549
"Igkc3",5.2268593359162e-09,0.158087072436027,0.969,0.875,1.87382907192596e-05,"20","Igkc",0.094,0.0705725156309481
"Ly6e3",6.58208622957868e-09,0.211826628201764,1,0.999,2.35967791330396e-05,"20","Ly6e",0.001,0.000721527917459226
"Lsp13",8.86873233779816e-09,0.15159066010278,0.99,0.849,3.17944054310064e-05,"20","Lsp1",0.141,0.106023206026815
"Klf24",2.69440863466352e-08,0.141303911720527,1,0.956,9.65945495526873e-05,"20","Klf2",0.044,0.0320936297098533
"Limd27",5.55518086704134e-08,0.115140446940498,1,0.982,0.000199153234083432,"20","Limd2",0.018,0.0130430374755988
"Cd534",1.20872100051098e-06,0.115019941519268,1,0.821,0.00433326478683185,"20","Cd53",0.179,0.135269077685249
"Cd527",4.05332455136871e-06,0.190736854898039,1,0.984,0.0145311685166568,"20","Cd52",0.016,0.0115879742752118
"Tmsb104",6.6304392952781e-06,0.17082697449402,1,0.991,0.023770124873572,"20","Tmsb10",0.00900000000000001,0.00650677894158448
"Crip13",1.18052403751323e-05,0.120734614879417,1,0.972,0.0423217867448493,"20","Crip1",0.028,0.0203404482841756
"Chchd102",2.86420877306726e-05,0.12240112555633,0.98,0.752,0.102681884514461,"20","Chchd10",0.228,0.176497655365799
"Lpl1",8.71059900453327e-20,0.285907562715723,1,0.039,3.12274974312518e-16,"25","Lpl",0.961,0.944804345757875
"Hpgd",9.00486139336764e-20,0.149295691361161,1,0.029,3.2282428095223e-16,"25","Hpgd",0.971,0.958757017768119
"Sdc31",9.31955586098589e-20,0.238744192044515,1,0.027,3.34106077616344e-16,"25","Sdc3",0.973,0.961563818343892
"Clec4a1",1.2548850875163e-19,0.146755852965851,1,0.057,4.49876303874592e-16,"25","Clec4a1",0.943,0.920024623279404
"Axl1",1.29984080287553e-19,0.425095672869861,1,0.042,4.65992927830878e-16,"25","Axl",0.958,0.940644722383579
"Maf1",1.38834641033773e-19,0.212274962310172,1,0.021,4.97722188106076e-16,"25","Maf",0.979,0.970017133784286
"Clec4a31",1.77880342606121e-19,0.231070222868842,1,0.091,6.37701028242945e-16,"25","Clec4a3",0.909,0.87434889833848
"Lgmn1",1.89900322574902e-19,0.24574789760861,1,0.068,6.80792656431023e-16,"25","Lgmn",0.932,0.905088352974533
"Aif11",1.90005018693342e-19,0.389124176902132,1,0.1,6.81167992015631e-16,"25","Aif1",0.9,0.862496476250065
"Lipa1",2.95598040228132e-19,0.174344964681787,1,0.118,1.05971897421785e-15,"25","Lipa",0.882,0.839079811818897
"Fcna1",3.16326810550163e-19,0.675188737042195,1,0.077,1.13403161582234e-15,"25","Fcna",0.923,0.89298175011788
"Itgad",3.19342724813454e-19,0.116003421621556,0.982,0.012,1.14484366845623e-15,"25","Itgad",0.97,0.969747672492178
"Il18",3.30379086916658e-19,0.131499479556797,0.982,0.025,1.18440902659622e-15,"25","Il18",0.957,0.95133305279368
"Mafb",3.30839468356994e-19,0.116423900956425,0.982,0.021,1.18605949405982e-15,"25","Mafb",0.961,0.956974096308687
"Cd5l1",3.41982237809332e-19,0.1492229456392,0.982,0.014,1.22600632254645e-15,"25","Cd5l",0.968,0.966899310183148
"Ms4a7",3.41982237809332e-19,0.128772892225284,0.982,0.013,1.22600632254645e-15,"25","Ms4a7",0.969,0.96832278838535
"Mrc11",3.42267844247898e-19,0.185263722933185,0.982,0.016,1.22703022162872e-15,"25","Mrc1",0.966,0.964056560414322
"Igf11",3.53495713521142e-19,0.154323535145643,0.982,0.014,1.26728213297329e-15,"25","Igf1",0.968,0.966899310183148
"Spic",3.5379069928709e-19,0.123152311821232,0.982,0.013,1.26833965694422e-15,"25","Spic",0.969,0.96832278838535
"Ckb",3.654936017625e-19,0.114275073930697,0.982,0.028,1.31029456231856e-15,"25","Ckb",0.954,0.94711669799261
"Fcgrt1",3.65899988191973e-19,0.1577961490922,0.982,0.035,1.31175145766822e-15,"25","Fcgrt",0.947,0.937326194799801
"Ear2",4.11790629358957e-19,0.13791379948254,1,0.118,1.47626940625186e-15,"25","Ear2",0.882,0.839079811818897
"Csf1r1",5.00473596821506e-19,0.311604581682546,1,0.21,1.7941978446051e-15,"25","Csf1r",0.79,0.72499295250013
"Gns",5.78423074466609e-19,0.147295815389068,0.982,0.055,2.07364672196279e-15,"25","Gns",0.927,0.909713963591941
"Marcks2",8.33224413872783e-19,0.230172340649202,1,0.204,2.98710952373393e-15,"25","Marcks",0.796,0.732164607902385
"C1qc1",8.33864169358126e-19,1.1905179238289,1,0.177,2.98940304714888e-15,"25","C1qc",0.823,0.764885679623643
"Cd681",8.34290932212607e-19,0.520143585419335,1,0.241,2.9909329919822e-15,"25","Cd68",0.759,0.68849688453173
